('Thigpen ', 'Bay Springs', '31.95376472', '-89.23450472')
('Butte Valley', 'Dorris', '41.88709222', '-121.9755614')
('Tuntutuliak', 'Tuntutuliak', '60.33534556', '-162.6670094')
('Twin Hills', 'Twin Hills', '59.07562167', '-160.2730436')
('Chignik Lake', 'Chignik Lake', '56.25504722', '-158.7753614')
('Kwigillingok', 'Kwigillingok', '59.87644778', '-163.1675583')
('Apalachicola Municipal', 'Apalachicola', '29.72754583', '-85.02744778')
('Colonel James Jabara', 'Wichita', '37.74755556', '-97.22113889')
('Taylor County', 'Cambellsville', '37.35827778', '-85.30941667')
('Alturas Municipal', 'Alturas', '41.483', '-120.5653611')
('Lehigh Valley International', 'Allentown', '40.65236278', '-75.44040167')
('Abilene Regional', 'Abilene', '32.41132', '-99.68189722')
('Antonio (Nery) Juarbe Pol', 'Arecibo', '18.45111111', '-66.67555556')
('Albuquerque International', 'Albuquerque', '35.04022222', '-106.6091944')
('Aberdeen Regional', 'Aberdeen', '45.44905556', '-98.42183333')
('Southwest Georgia Regional', 'Albany', '31.535515', '-84.19447333')
('Antrim County', 'Bellaire', '44.98857611', '-85.198355')
('Souther ', 'Americus', '32.11079917', '-84.18884806')
('Nantucket Memorial', 'Nantucket', '41.25305194', '-70.06018139')
('Waseca Municipal', 'Waseca', '44.07346389', '-93.55294361')
('Waco Regional', 'Waco', '31.61128833', '-97.23051917')
('Arcata', 'Arcata/Eureka', '40.97811528', '-124.1086189')
('Atlantic City International', 'Atlantic City', '39.45758333', '-74.57716667')
('Henderson ', 'Wallace', '34.71789028', '-78.00362444')
('Wadena Municipal ', 'Wadena', '46.45026972', '-95.21095472')
('Lenawee County', 'Adrian', '41.86943667', '-84.07480528')
('Ada Municipal', 'Ada', '34.80434056', '-96.6712775')
('Adak', 'Adak', '51.87796389', '-176.6460306')
('Ardmore Municipal', 'Ardmore', '34.30320667', '-97.01952167')
('Kodiak ', 'Kodiak', '57.74996778', '-152.4938553')
('Addison', 'Dallas/Addison', '32.96855944', '-96.83644778')
('Atwood-Rawlins County City-County', 'Atwood', '39.84013889', '-101.0420278')
('Audubon Municipal', 'Audubon', '41.70137556', '-94.92054167')
('Double Eagle II', 'Albuquerque', '35.14515278', '-106.7951617')
('Albert Lea Municipal', 'Albert Lea', '43.68151278', '-93.36723778')
('Alexandria International', 'Alexandria', '31.32737167', '-92.54855611')
('Kake', 'Kake', '56.96048139', '-133.9082694')
('Washington County', 'Washington', '40.13648833', '-80.29020083')
('Nebraska City Municipal', 'Nebraska City', '40.60688889', '-95.86569444')
('Ambler', 'Ambler', '67.10610472', '-157.8536203')
('Jaffrey Municipal Silver Ranch', 'Jaffrey', '42.80513417', '-72.00302194')
('Afton Municipal', 'Afton', '42.71124583', '-110.9421639')
('Fort Worth Alliance', 'Fort Worth', '32.98763889', '-97.31880556')
('Allegheny Cty', 'Pittsburgh', '40.35440139', '-79.93016889')
('Angoon SPB', 'Angoon', '57.50355528', '-134.5850939')
('Magnolia Municipal', 'Magnolia', '33.22802111', '-93.21696861')
('Bush ', 'Augusta', '33.369955', '-81.96449611')
('Wagner Municipal', 'Wagner', '43.06332694', '-98.29618972')
('Amery Municipal', 'Amery', '45.28114833', '-92.37539222')
('Athens Municipal', 'Athens', '33.94859528', '-83.32634694')
('Port Alexander SPB', 'Port Alexander', '56.24684222', '-134.6481539')
('Wahoo Municipal', 'Wahoo', '41.24133333', '-96.59402778')
('Alliance Municipal', 'Alliance', '42.05325', '-102.8037222')
('Anderson Municipal', 'Anderson', '40.10862139', '-85.61299472')
('Langlade County', 'Antigo', '45.15419444', '-89.11072222')
('Aiken Municipal', 'Aiken', '33.64955556', '-81.68447222')
('Atlantic Municipal', 'Atlantic', '41.40726722', '-95.04690639')
('Aitkin Municipal', 'Aitkin', '46.5484225', '-93.6768')
('George Downer ', 'Aliceville', '33.10706889', '-88.19725167')
('Atlantic City Municipal', 'Atlantic City', '39.36002778', '-74.45608333')
('Lee C Fine Memorial', 'Kaiser/Lake Ozark', '38.096035', '-92.5494875')
('Chignik (Anchorage Bay)', 'Chignik', '56.3114625', '-158.3732369')
('Mt Carmel Municipal', 'Mt Carmel', '38.60654722', '-87.72669417')
('Corona Municipal', 'Corona', '33.89765389', '-117.60244')
('Habersham County', 'Cornelia', '34.50081944', '-83.55487')
('Perryville', 'Perryville', '55.90806056', '-159.1585781')
('Atka', 'Atka', '52.22034833', '-174.2063503')
('Gastonia Municipal', 'Gastonia', '35.20265944', '-81.1498675')
('Akiak', 'Akiak', '60.90481194', '-161.2270189')
('Akhiok', 'Akhiok', '56.93869083', '-154.1825556')
('King Salmon', 'King Salmon', '58.67680167', '-156.6492175')
('Akron-Washington Co', 'Akron', '40.17563333', '-103.2220278')
('Anaktuvuk Pass', 'Anaktuvuk Pass', '68.1343225', '-151.74168')
('Akron Fulton Intl.', 'Akron', '41.0375', '-81.46693944')
('Klawock', 'Klawock', '55.57923333', '-133.0759972')
('Vaiden ', 'Marion', '32.51235611', '-87.38555472')
('Albany Cty', 'Albany', '42.74811944', '-73.80297861')
('Alice International', 'Alice', '27.74088889', '-98.02694444')
('Alamogordo-White Sands Regional', 'Alamogordo', '32.83994444', '-105.9905833')
('St. Louis Regional', 'Alton/St. Louis', '38.89029083', '-90.04604306')
('Waterloo Municipal', 'Waterloo', '42.55708139', '-92.40034361')
('San Luis Valley Regional/Bergman ', 'Alamosa', '37.43491667', '-105.8665556')
('Walla Walla Regional', 'Walla Walla', '46.09456167', '-118.2880367')
('Thomas C Russell ', 'Alexander City', '32.91475167', '-85.96295611')
('Amarillo International', 'Amarillo', '35.2193725', '-101.7059272')
('Bacon County', 'Alma', '31.53605556', '-82.50655556')
('Gratiot Community', 'Alma', '43.3221425', '-84.68794917')
('Alexander Salamon', 'West Union', '38.85148778', '-83.56627778')
('Ames Municipal', 'Ames', '41.99206972', '-93.62180139')
('Anniston Metropolitan', 'Anniston', '33.58816667', '-85.85811111')
('Ted Stevens Anchorage International', 'Anchorage', '61.17432028', '-149.9961856')
('Anderson County', 'Anderson', '34.49494444', '-82.70902778')
('Anoka County', 'Minneapolis', '45.145', '-93.21138889')
('Aniak', 'Aniak', '61.58159694', '-159.5430428')
('Steuben County-Tri State', 'Angola', '41.63969833', '-85.08349333')
('Anvik', 'Anvik', '62.64858333', '-160.1898889')
('Ainsworth Municipal', 'Ainsworth', '42.57922222', '-99.99297222')
('Anthony Municipal', 'Anthony', '37.15852194', '-98.07964667')
('Arco-Butte County', 'Arco', '43.60343056', '-113.3340972')
('Allen County', 'Lima', '40.70694444', '-84.02666667')
('Altoona-Blair Cty', 'Altoona', '40.29637222', '-78.32002306')
('Centennial', 'Denver', '39.57012833', '-104.8492942')
('Napa County', 'Napa', '38.21319444', '-122.2806944')
('Naples Municipal', 'Naples', '26.15247222', '-81.77544444')
('Alpena County Regional ', 'Alpena', '45.0780675', '-83.56028583')
('Marion County-Brown ', 'Jasper', '35.06067778', '-85.58531667')
('Apple Valley', 'Apple Valley', '34.57528944', '-117.1861792')
('Klawock SPB', 'Klawock', '55.5546575', '-133.1016928')
('Kwinhagak', 'Quinhagak', '59.75700722', '-161.8794789')
('Nuiqsut', 'Nuiqsut', '70.20995278', '-151.0055611')
('Harriman And West', 'North Adams', '42.69591417', '-73.17038306')
('Girdwood', 'Girdwood', '60.96609583', '-149.1257892')
('Acadiana Regional', 'New Iberia', '30.03775833', '-91.88389611')
('Ann Arbor Municipal', 'Ann Arbor', '42.22298361', '-83.74560722')
('Arctic Village', 'Arctic Village', '68.11608083', '-145.5761114')
('Walnut Ridge Regional', 'Walnut Ridge', '36.12534667', '-90.92461944')
('Aurora Municipal', 'Chicago/Aurora', '41.77192944', '-88.47565917')
('Watertown Intl', 'Watertown', '43.99192222', '-76.02173861')
('Lakeland', 'Minocqua-Woodruff', '45.92792556', '-89.73094278')
('Slidell', 'Slidell', '30.345055', '-89.82078833')
('Aspen-Pitkin Co/Sardy ', 'Aspen', '39.22316', '-106.868845')
('Springdale Municipal', 'Springdale', '36.17641056', '-94.11925833')
('Boire ', 'Nashua', '42.78176306', '-71.51477944')
('Tri-County', 'Ahoskie', '36.29752583', '-77.17085556')
('Marshall - Harrison County', 'Marshall', '32.5205', '-94.30777778')
('Talladega Municipal', 'Talladega', '33.56991111', '-86.05085833')
('Astoria Regional', 'Astoria', '46.15797222', '-123.8786944')
('Warsaw Municipal', 'Warsaw', '41.2747', '-85.84005556')
('John F Kennedy Memorial', 'Ashland', '46.54852806', '-90.91896639')
('Hall-Miller Municipal', 'Atlanta', '33.101805', '-94.19532694')
('Atqasuk', 'Atqasuk', '70.46727611', '-157.4357361')
('William B Hartsfield-Atlanta Intl', 'Atlanta', '33.64044444', '-84.42694444')
('Artesia Municipal', 'Artesia', '32.85252806', '-104.4676864')
('Outagamie County Regional', 'Appleton', '44.25740806', '-88.51947556')
('Watertown Municipal', 'Watertown', '44.91398056', '-97.15471944')
('Augusta State', 'Augusta', '44.32064972', '-69.79731806')
('Aurora Municipal', 'Aurora', '40.89413889', '-97.99455556')
('Alakanuk', 'Alakanuk', '62.68004417', '-164.6599253')
('Austin Municipal', 'Austin', '43.66499083', '-92.933385')
('Auburn Municipal', 'Auburn', '38.95476944', '-121.0820806')
('Auburn-Opelik', 'Auburn', '32.61635417', '-85.43355944')
('Austin-Bergstrom International', 'Austin', '30.19453278', '-97.66987194')
('Wausau Municipal', 'Wausau', '44.92847222', '-89.62661111')
('Mecklenburg-Brunswick Regional', 'South Hill', '36.68827778', '-78.05447222')
('Alva Regional', 'Alva', '36.77317', '-98.66994611')
('Asheville Regional', 'Asheville', '35.43619444', '-82.54180556')
('Avon Park Municipal', 'Avon Park', '27.591145', '-81.52785333')
('Wilkes-Barre/Scranton Intl', 'Wilkes-Barre/Scranton', '41.33814944', '-75.7242675')
('Marana Northwest Regional', 'Marana', '32.40939028', '-111.2185086')
('Catalina', 'Avalon', '33.40494444', '-118.4158611')
('Washington Municipal', 'Washington', '41.27610083', '-91.67344389')
('Wainwright', 'Wainwright', '70.638', '-159.99475')
('West Memphis Municipal', 'West Memphis', '35.13505861', '-90.23444639')
('Arlington Municipal', 'Arlington', '48.16074833', '-122.1590208')
('Algona Municipal', 'Algona', '43.07791056', '-94.27199278')
('Chandler ', 'Alexandria', '45.86629833', '-95.39466806')
('Altus Municipal', 'Altus', '34.69878194', '-99.3381')
('Neil Armstrong', 'Wapakoneta', '40.49338889', '-84.29894444')
('Angel Fire', 'Angel Fire', '36.42240972', '-105.2892967')
('Waycross-Ware County', 'Waycross', '31.24905556', '-82.39530556')
('Colorado City Municipal', 'Colorado City', '36.95994444', '-113.0138889')
('Hazelhurst', 'Hazelhurst', '31.88465639', '-82.64738778')
('Kalamazoo County', 'Kalamazoo', '42.234875', '-85.5520575')
('Granville', 'Granville', '43.42507111', '-73.26205306')
('Silver Springs', 'Silver Springs', '39.40324917', '-119.2518292')
('Whitford', 'Weedsport', '43.08027611', '-76.53837556')
('Biddeford Municipal', 'Biddeford', '43.46411111', '-70.47238889')
('Sugarloaf Regional', 'Carrabasset', '45.08616639', '-70.21617778')
('Barnes Municipal', 'Westfield', '42.15773111', '-72.71562028')
('Columbus Municipal', 'Columbus', '39.26191861', '-85.89634556')
('Battle Mountain', 'Battle Mountain', '40.59904583', '-116.8743358')
('Huron County Memorial', 'Bad Axe', '43.78091667', '-82.98566667')
('New Braunfels Municipal', 'New Braunfels', '29.7045', '-98.04222222')
('Benson Municipal', 'Benson', '45.3319325', '-95.650565')
('Curtis ', 'Brady', '31.17816667', '-99.32463889')
('Marlboro County', 'Bennettsville', '34.62170861', '-79.73435944')
('Broken Bow Municipal', 'Broken Bow', '41.43645056', '-99.64216861')
('Virginia Tech', 'Blacksburg', '37.20782361', '-80.40832778')
('Bryce Canyon', 'Bryce Canyon', '37.70637111', '-112.1454725')
('Black River Falls Area', 'Black River Falls', '44.25073861', '-90.85528028')
('Boca Raton', 'Boca Raton', '26.37848667', '-80.10769667')
('Birchwood', 'Birchwood', '61.41612444', '-149.50888')
('Baudette International', 'Baudette', '48.72741667', '-94.61030556')
('Blanding Muni', 'Blanding', '37.58303472', '-109.4832889')
('Bradley International', 'Windsor Locks', '41.93887417', '-72.68322833')
('Morrilton Municipal', 'Morrilton', '35.13619528', '-92.71349722')
('Igor I Sikorsky Memorial', 'Bridgeport', '41.16348417', '-73.12617861')
('Broadus', 'Broadus', '45.433325', '-105.4172133')
('Laurence G Hanscom ', 'Bedford', '42.46995306', '-71.28903')
('Southwest Michigan Regional', 'Benton Harbor', '42.12858333', '-86.4285')
('Bethel', 'Bethel', '60.77977639', '-161.8379975')
('Bradford Reg', 'Bradford', '41.80306778', '-78.64012083')
('Scotts Bluff County', 'Scottsbluff', '41.87402778', '-103.5956389')
('Boeing Field/King County Intl', 'Seattle', '47.52998917', '-122.3019561')
('Buffalo Municipal', 'Buffalo', '36.86330139', '-99.61873056')
('Meadows ', 'Bakersfield', '35.43359806', '-119.0567681')
('Mobile Downtown', 'Mobile', '30.62646944', '-88.06799861')
('Virgil I Grissom Municipal', 'Bedford', '38.84003306', '-86.44536361')
('Silver Bay Municipal', 'Silver Bay', '47.24902778', '-91.41558333')
('Hutchinson County', 'Borger', '35.70004194', '-101.3940536')
('Decatur County Industrial Airpark', 'Bainbridge', '30.97152778', '-84.63744444')
('Winchester Municipal', 'Winchester', '35.17753417', '-86.06616722')
('Binghamton Regional', 'Binghamton', '42.20848278', '-75.97961361')
('Big Lake Strip Nr 2', 'Big Lake', '61.53556806', '-149.8138975')
('Bangor International', 'Bangor', '44.80744444', '-68.82813889')
('Hancock Co-Bar Harbor', 'Bar Harbor', '44.44969444', '-68.3615')
('Baxley Municipal', 'Baxley', '31.71383333', '-82.39377778')
('Baker Muni', 'Baker City', '46.34763639', '-104.2594475')
('Birmingham International', 'Birmingham', '33.56294306', '-86.75354972')
('Block Island State', 'Block Island', '41.16811889', '-71.57784167')
('Beatrice Municipal', 'Beatrice', '40.30127778', '-96.75411111')
('Allen AAF', 'Delta Junction', '63.99454722', '-145.7216417')
('Bishop', 'Bishop', '37.37309556', '-118.3636089')
('Billings Logan Intl', 'Billings', '45.8076625', '-108.5428611')
('Bismarck Municipal', 'Bismarck', '46.77411111', '-100.7467222')
('Tulip City', 'Holland', '42.74316667', '-86.10502778')
('Jeffco', 'Denver', '39.90878667', '-105.1172158')
('Bemidji-Beltrami County', 'Bemidji', '47.50942417', '-94.93372333')
('Wayne County', 'Wooster', '40.87480556', '-81.88825')
('Breckenridge Stephens County', 'Breckenridge', '32.71904694', '-98.89099972')
('Baker City Municipal', 'Baker City', '44.83733333', '-117.8090833')
('Burke Lakefront', 'Cleveland', '41.5175', '-81.68333333')
('Hernando County', 'Brooksville', '28.47359722', '-82.45542139')
('Raleigh Cty Memorial', 'Beckley', '37.78732833', '-81.12416417')
('Brookings Municipal', 'Brookings', '44.30483333', '-96.81694444')
('Mercer Cty', 'Bluefield', '37.29579944', '-81.20769056')
('Blythe', 'Blythe', '33.61916278', '-114.7168764')
('Bellingham Intl', 'Bellingham', '48.79275', '-122.5375278')
('Allaire Arpt', 'Belmar/Farmingdale', '40.18691806', '-74.12488694')
('Scott AFB/MidAmerica ', 'Belleville/St. Louis', '38.54517861', '-89.83518444')
('Brigham City', 'Brigham City', '41.55239139', '-112.0622625')
('Monroe County', 'Bloomington', '39.14602139', '-86.61668278')
('Central Illinois Regional', 'Bloomington', '40.47798556', '-88.91595278')
('Berlin Municipal', 'Berlin', '44.57537278', '-71.17593167')
('Burnet Muni-Kate Craddock ', 'Burnet', '30.73894444', '-98.23858333')
('Beaumont Municipal', 'Beaumont', '30.07044111', '-94.21553806')
('Nashville International', 'Nashville', '36.12447667', '-86.67818222')
('Baranof Warm Springs SPB', 'Baranof Warm Springs', '57.08882583', '-134.8331414')
('Banning Municipal', 'Banning', '33.92307111', '-116.8505756')
('Barnwell County', 'Barnwell', '33.25777778', '-81.38833333')
('Burns Muni', 'Burns', '43.59212778', '-118.9549789')
('Boone Municipal', 'Boone', '42.04956944', '-93.84757222')
('Boise Air Terminal', 'Boise', '43.56444444', '-116.2227778')
('Brookings', 'Brookings', '42.07455556', '-124.2900939')
('Gen Edw L Logan Intl', 'Boston', '42.3643475', '-71.00517917')
('Bartow Municipal', 'Bartow', '27.9433575', '-81.78344167')
('Big Piney-Marbleton', 'Big Piney', '42.58506972', '-110.1111531')
('Baxter County Regional', 'Mountain Home', '36.36894194', '-92.47052806')
('Southeast Texas Regional', 'Beaumont/Port Arthur', '29.95083333', '-94.02069444')
('Glynco Jetport', 'Brunswick', '31.25902778', '-81.46630556')
('Rafael Hernandez', 'Aguadilla', '18.49486111', '-67.12944444')
('Brainerd-Crow Wing County Regional', 'Brainerd', '46.39785806', '-94.1372275')
('Burlington Municipal', 'Burlington', '40.783225', '-91.12550556')
('Brownsville/S.Padre Island International', 'Brownsville', '25.90683333', '-97.42586111')
('Wiley Post Will Rogers Memorial', 'Barrow', '71.2854475', '-156.7660019')
('Samuels ', 'Bardstown', '37.81432167', '-85.49963806')
('Belfast Municipal', 'Belfast', '44.40966667', '-69.01225')
('Barter Island ', 'Kaktovik', '70.13390278', '-143.5770444')
('W K Kellogg Regional', 'Battle Creek', '42.30727806', '-85.25147972')
('Bert Mooney', 'Butte', '45.95479528', '-112.49746')
('Britton Municipal', 'Britton', '45.81522222', '-97.74313889')
('Butler Cty', 'Butler', '40.77692611', '-79.94972417')
('"Baton Rouge Metropolitan, Ryan "', 'Baton Rouge', '30.53316083', '-91.14963444')
('Bettles', 'Bettles', '66.91528667', '-151.5280556')
('Burlington International', 'Burlington', '44.47300361', '-73.1503125')
('Beatty', 'Beatty', '36.86105722', '-116.7870036')
('Cram ', 'Burwell', '41.77669444', '-99.14975')
('Buffalo Niagara Intl', 'Buffalo', '42.94052472', '-78.73216667')
('Butler Memorial', 'Butler', '38.28977028', '-94.34012694')
('Burbank-Glendale-Pasadena', 'Burbank', '34.20061917', '-118.3584969')
('Burlington Municipal', 'Burlington', '36.04854333', '-79.47488694')
('Beaver County', 'Beaver Falls', '40.77248083', '-80.39142556')
('Buckland', 'Buckland', '65.98228611', '-161.1519778')
('Albion Municipal', 'Albion', '41.72857778', '-98.05575972')
('Bartlesville Municipal', 'Bartlesville', '36.76247611', '-96.01115167')
('Skagit Regional/Bay View', 'Burlington/Mount Vernon', '48.47088889', '-122.4208611')
('Batesville Regional', 'Batesville', '35.726105', '-91.64736083')
('Beverly Municipal', 'Beverly', '42.58417111', '-70.91651833')
('Brawley Municipal', 'Brawley', '32.9931', '-115.5169325')
('Brownwood Municipal', 'Brownwood', '31.79362222', '-98.95649528')
('Bowling Green-Warren County ', 'Bowling Green', '36.96451667', '-86.41967917')
('Baltimore-Washington International', 'Baltimore', '39.17540167', '-76.66819833')
('Harry Stern', 'Wahpeton', '46.24640083', '-96.6056825')
('George R Carr Memorial', 'Bogalusa', '30.81368639', '-89.86496444')
('Burke County', 'Waynesboro', '33.04093056', '-82.00397917')
('Buckeye Municipal', 'Buckeye', '33.42088556', '-112.6863')
('Boundary', 'Boundary', '64.07830278', '-141.113375')
('Johnson County', 'Buffalo', '44.38108528', '-106.7217897')
('Burley Municipal', 'Burley', '42.54260361', '-113.7715442')
('Gallatin ', 'Bozeman', '45.77690139', '-111.1530072')
('Mercer County', 'Aledo', '41.248645', '-90.73708361')
('Chenega Bay', 'Chenega', '60.07730556', '-147.9918889')
('Morris Municipal', 'Morris', '41.42541667', '-88.41869444')
('Pekin Municipal', 'Pekin', '40.48820611', '-89.67591083')
('Marion', 'Marion', '42.03111083', '-91.52934222')
('Frankfort', 'Chicago/Frankfort', '41.4775', '-87.84047222')
('Waverly Municipal', 'Waverly', '42.7419525', '-92.50793528')
('Morey', 'Middleton', '43.11424444', '-89.53073222')
('Gibson City Municipal', 'Gibson City', '40.48578389', '-88.2672725')
('Reedsburg Municipal', 'Reedsburg', '43.52589944', '-89.98322194')
('Portage Municipal', 'Portage', '43.5600925', '-89.48309278')
('Burlington Municipal', 'Burlington', '42.69056389', '-88.30464')
('Sanger', 'Chicago/Monee', '41.37756167', '-87.68137528')
('Kendallville Municipal', 'Kendallville', '41.47271639', '-85.26080833')
('Plymouth Municipal', 'Plymouth', '41.36513333', '-86.30050417')
('Monmouth Municipal', 'Monmouth', '40.92970444', '-90.63110722')
('Crosby Municipal', 'Crosby', '31.29600472', '-91.05288167')
('Dixon Muni-Charles R Walgreen ', 'Dixon', '41.83369889', '-89.44621333')
('Marshall County', 'Lacon', '41.01928583', '-89.38642222')
('Poplar Grove ', 'Poplar Grove', '42.32268639', '-88.83651833')
('New Coalinga Municipal', 'Coalinga', '36.16313889', '-120.2938139')
('Campbell', 'Chicago/Round Lake Park', '42.32461111', '-88.07408806')
('Byron', 'Byron', '37.8284525', '-121.6258219')
('Dowagiac Municipal ', 'Dowagiac', '41.99293417', '-86.1280125')
('Wexford County', 'Cadillac', '44.27531333', '-85.41892694')
('Columbia Metropolitan', 'Columbia', '33.93884', '-81.11953944')
('Craig-Moffat', 'Craig', '40.49522139', '-107.5216467')
('Akron-Canton Regional', 'Akron', '40.91631194', '-81.44246556')
('Clayton Municipal Airpark', 'Clayton', '36.44585972', '-103.1546583')
('Caribou Municipal', 'Caribou', '46.8715', '-68.01791667')
('Clarion Municipal', 'Clarion', '42.74194389', '-93.75890944')
('Cumberland Regional', 'Cumberland', '39.61541667', '-78.76086361')
('Council Bluffs Municipal', 'Council Bluffs', '41.25947222', '-95.75997222')
('Cambridge Municipal', 'Cambridge', '45.55854639', '-93.26464361')
('Shaltz ', 'Colby', '39.42753083', '-101.0465719')
('Cable', 'Upland', '34.11154056', '-117.6875897')
('Newnan-Coweta County', 'Newnan', '33.31208333', '-84.77027778')
('Buchanan ', 'Concord', '37.98965639', '-122.0568972')
('Charles City Municipal', 'Charles City', '43.07260861', '-92.61077833')
('Cold Bay', 'Cold Bay', '55.20559972', '-162.7242628')
('Cedar City Muni', 'Cedar City', '37.70097028', '-113.098575')
('Harrell ', 'Camden', '33.62279917', '-92.76339528')
('Cambridge Municipal', 'Cambridge', '39.97504417', '-81.57759528')
('George T Lewis', 'Cedar Key', '29.137745', '-83.04984361')
('Woodward ', 'Camden', '34.28358333', '-80.56486111')
('Chadron Municipal', 'Chadron', '42.83755556', '-103.0954167')
('Merle K (Mudhole) Smith', 'Cordova', '60.49183389', '-145.4776503')
('Essex Cty Arpt', 'Caldwell', '40.87522278', '-74.28135667')
('Jack McNamara ', 'Crescent City', '41.78015722', '-124.2365333')
('Westover AFB', 'Chicopee', '42.19826389', '-72.53425833')
('Crete Municipal', 'Crete', '40.61791667', '-96.92488889')
('Central', 'Central', '65.57380667', '-144.7832908')
('Oconee County Regional', 'Clemson', '34.67205556', '-82.88644444')
('Mettel ', 'Connersville', '39.69803139', '-85.13124528')
('Bob Sikes', 'Crestview', '30.77883333', '-86.52211111')
('Kyle-Oakley ', 'Murray', '36.66458333', '-88.37277722')
('Cortez Muni', 'Cortez', '37.30299778', '-108.6280658')
('Coulter ', 'Bryan', '30.71569444', '-96.33136111')
('Crawfordsville Municipal', 'Crawfordsville', '39.97562861', '-86.91986361')
('Chefornak', 'Chefornak', '60.14922556', '-164.2856325')
('Greenlee County', 'Clifton-Morenci', '32.95284306', '-109.2103453')
('Coffeyville Municipal', 'Coffeyville', '37.0940475', '-95.57189417')
('Craig SPB', 'Craig', '55.47883139', '-133.1478011')
('Crystal River', 'Crystal River', '28.86727778', '-82.57130556')
('Cambridge-Dorchester', 'Cambridge', '38.53930556', '-76.03036111')
('Cuyahoga County', 'Cleveland', '41.56512389', '-81.48635389')
('Cape Girardeau Municipal', 'Cape Girardeau', '37.22531694', '-89.57075167')
('College Park', 'College Park', '38.98058333', '-76.92230556')
('Chicago Meigs', 'Chicago', '41.85884389', '-87.60791167')
('Casa Grande Municipal', 'Casa Grande', '32.95488889', '-111.7668333')
('Lovell ', 'Chattanooga', '35.03526833', '-85.20378778')
('Chandler Municipal', 'Chandler', '33.26908333', '-111.8111389')
('Chickasha Municipal', 'Chickasha', '35.09614694', '-97.96618361')
('Charlottesville-Albermarle', 'Charlottesville', '38.13863889', '-78.45286111')
('Circle Hot Springs', 'Circle Hot Springs', '65.48547222', '-144.6107836')
('Charleston AFB/International', 'Charleston', '32.89864639', '-80.04050583')
('Chillicothe Municipal', 'Chillicothe', '39.78215278', '-93.49568056')
('Houston County', 'Caledonia', '43.59635861', '-91.50394639')
('Chico Municipal', 'Chico', '39.79538278', '-121.8584231')
('Eastern Iowa ', 'Cedar Rapids', '41.88458833', '-91.71087222')
('Choteau', 'Choteau', '47.82528056', '-112.1662136')
('Chalkyitsik', 'Chalkyitsik', '66.64969083', '-143.7359492')
('Arthur N Neu', 'Carroll', '42.04619444', '-94.789')
('Cairo', 'Cairo', '37.06447222', '-89.21961111')
('Chippewa County International', 'Sault Ste. Marie', '46.25075194', '-84.47238528')
('Culpeper Regional', 'Culpeper', '38.5267075', '-77.85885528')
('Crooked Creek', 'Crooked Creek', '61.86902194', '-158.1371178')
('Benedum', 'Clarksburg', '39.29663889', '-80.22808333')
('Grand Marais/Cook County', 'Grand Marais', '47.83830556', '-90.38313889')
('Crisp County - Cordele', 'Cordele', '31.98883333', '-83.77391667')
('Williamsburg County', 'Kingstree', '33.71722222', '-79.85697222')
('Fletcher ', 'Clarksdale', '34.29971', '-90.51231611')
('Crookston Muni Kirkwood ', 'Crookston', '47.84169417', '-96.62162028')
('Cherokee Municipal', 'Cherokee', '42.73147222', '-95.55613889')
('Cordova Muni', 'Cordova', '60.54390333', '-145.7267042')
('Outlaw ', 'Clarksville', '36.62188083', '-87.41495361')
('Chicken', 'Chicken', '64.07133833', '-141.9522792')
('MC Clellan-Palomar Airport', 'NA', '33.127231', '-117.278727')
('Cleveland-Hopkins Intl', 'Cleveland', '41.41089417', '-81.84939667')
('Clintonville Municipal', 'Clintonville', '44.61381306', '-88.73126667')
('Clinton Municipal', 'Clinton', '35.53832778', '-98.932695')
('Easterwood ', 'College Station', '30.58858944', '-96.36382417')
('William R Fairchild Intl', 'Port Angeles', '48.12019444', '-123.4996944')
('Clarks Point', 'Clarks Point', '58.84230472', '-158.5452331')
('Chehalis-Centralia', 'Chehalis', '46.67649194', '-122.9792967')
('Charlotte/Douglas International', 'Charlotte', '35.21401111', '-80.94312583')
('Clearwater Air Park', 'Clearwater', '27.97668639', '-82.75874028')
('Camarillo', 'Camarillo', '34.21375472', '-119.0943264')
('Port Columbus Intl', 'Columbus', '39.99798528', '-82.89188278')
('University of Illinois-Willard', 'Champaign/Urbana', '40.03925', '-88.27805556')
('Houghton County Memorial', 'Hancock', '47.16841722', '-88.48906083')
('Sparta/Fort McCoy', 'Sparta', '43.95834806', '-90.7378975')
('Chariton Municipal', 'Chariton', '41.01962389', '-93.35968028')
('Claremont Municipal', 'Claremont', '43.37043194', '-72.36867667')
('Blosser Municipal', 'Concordia', '39.54925139', '-97.65231667')
('Cavern City Air Terminal', 'Carlsbad', '32.33747222', '-104.2632778')
('Chino', 'Chino', '33.97469444', '-117.6366111')
('Billy G Ray ', 'Chappell', '41.07747222', '-102.4640556')
('Chanute Martin Johnson', 'Chanute', '37.66879722', '-95.48506444')
('TSTC-Waco', 'Waco', '31.63783139', '-97.07413889')
('Canyonlands ', 'Moab', '38.75495611', '-109.7548439')
('Yellowstone Regional', 'Cody', '44.52019417', '-109.0237961')
("Coeur D'Alene Air Terminal", "Coeur D'Alene", '47.77429167', '-116.8196231')
('Merritt Island', 'Merritt Island', '28.34158944', '-80.6854975')
('Coleman Municipal', 'Coleman', '31.84113889', '-99.40361111')
('Concord Municipal', 'Concord', '43.20273278', '-71.50228556')
