('Tishomingo County', 'Belmont', '34.49166667', '-88.20111111')
('Woodruff County', 'Augusta', '35.27175278', '-91.27040417')
('Wynne Municipal', 'Wynne', '35.23160167', '-90.76155111')
('Pocahontas Municipal', 'Pocahontas', '36.24551111', '-90.95520444')
('New Albany-Union County', 'New Albany', '34.54722222', '-89.02416667')
('Almyra Municipal', 'Almyra', '34.41232833', '-91.46634722')
('Howard County', 'Nashville', '33.99673833', '-93.83813583')
('Malvern Municipal', 'Malvern', '34.33331583', '-92.76149944')
('John H Hooks Jr Memorial', 'Rayville', '32.48633611', '-91.77087528')
('Madison County Executive ', 'Huntsville', '34.85645028', '-86.55621472')
('McCharen ', 'West Point', '33.58403556', '-88.66668694')
('Dexter B. Florence Memorial ', 'Arkadelphia', '34.09984639', '-93.06611694')
('Springfield-Robertson County', 'Springfield', '36.53726194', '-86.92068917')
('Richard Arthur ', 'Fayette', '33.71221972', '-87.81504639')
('Tunica Municipal', 'Tunica', '34.69232306', '-90.35065389')
('Saline County/Watts ', 'Benton', '34.55656472', '-92.60693972')
('Herbert Smart Downtown', 'Macon', '32.82213889', '-83.56202778')
('Malden Municipal', 'Malden', '36.60055694', '-89.99220278')
('Bruce Campbell ', 'Madison', '32.43866444', '-90.10309222')
('Murfreesboro Municipal', 'Murfreesboro', '35.87748444', '-86.37753222')
('Middle Georgia Regional', 'Macon', '32.69284944', '-83.64921083')
('Mooreland Municipal', 'Mooreland', '36.48475778', '-99.19415778')
('Key ', 'Meridian', '32.33313333', '-88.75120556')
('Memphis International', 'Memphis', '35.04241667', '-89.97666667')
('Montgomery Regional Apt', 'Montgomery', '32.30064417', '-86.39397611')
('Metter Municipal', 'Metter', '32.37388889', '-82.07919444')
('Miami Municipal', 'Miami', '36.90922083', '-94.88750028')
('Mountain Empire', 'Marion', '36.8948525', '-81.349955')
('McKellar-Sipes Regional', 'Jackson', '35.59987944', '-88.91561611')
('Davis ', 'Muskogee', '35.65773028', '-95.36164889')
('McAlester Regional', 'McAlester', '34.88240194', '-95.78346278')
('Baldwin County', 'Milledgeville', '33.15419444', '-83.24061111')
('Monroe Regional', 'Monroe', '32.51086556', '-92.03768778')
('McMinn County', 'Athens', '35.39730333', '-84.56256861')
('Mountain View', 'Mountain View', '36.99282694', '-91.71445611')
('Clarendon County', 'Manning', '33.58711111', '-80.20866667')
('Monroe County', 'Madisonville', '35.54537222', '-84.380235')
('Moore-Murrell', 'Morristown', '36.17939639', '-83.37544944')
('Philadelphia Municipal', 'Philadelphia', '32.7995775', '-89.12589472')
('Petit Jean Park', 'Morrilton', '35.13886306', '-92.90919694')
('Telfair-Wheeler', 'McRae', '32.09577778', '-82.88002778')
('Smyrna', 'Smyrna', '36.00897944', '-86.52007667')
('Maury County', 'Columbia-Mt Pleasant', '35.55413889', '-87.17891667')
('Morganton-Lenoir', 'Morganton', '35.82149222', '-81.61073639')
('Mount Pleasant Municipal', 'Mount Pleasant', '33.12936111', '-94.97563889')
('Northwest Alabama Regional ', 'Muscle Shoals', '34.74532028', '-87.61023222')
('Blue Ridge', 'Martinsville', '36.63074861', '-80.01834917')
('Mount Airy-Surry County', 'Mount Airy', '36.459735', '-80.55295722')
('Mineral Wells Municipal', 'Mineral Wells', '32.78160556', '-98.060175')
('Manila Municipal', 'Manila', '35.89444444', '-90.15456944')
('Ashe County', 'West Jefferson', '36.43243111', '-81.41968472')
('Millington Municipal', 'Millington', '35.35666667', '-89.87027778')
('Cherokee Nation', 'Stilwell', '35.75703083', '-94.64994417')
('Hollis Municipal', 'Hollis', '34.70839417', '-99.90871194')
('Prague Municipal', 'Prague', '35.48201417', '-96.71862944')
('Medford Municipal', 'Medford', '36.79058417', '-97.74899722')
('Okeene Municipal', 'Okeene', '36.11253667', '-98.3086825')
('Orangeburg Municipal', 'Orangeburg', '33.46094444', '-80.85891667')
('Will Rogers World', 'Oklahoma City', '35.39308833', '-97.60073389')
('Okmulgee Municipal', 'Okmulgee', '35.66813889', '-95.94869444')
('Kaolin ', 'Sandersville', '32.96672222', '-82.83816667')
('Olive Branch', 'Olive Branch', '34.97875', '-89.78683333')
('Olney Municipal', 'Olney', '33.35088056', '-98.81916667')
('Thomaston-Upton County', 'Thomaston', '32.95458861', '-84.26315222')
('Kosciusko-Attala County', 'Kosciusko', '33.09025889', '-89.54201722')
('University of Oklahoma Westheimer', 'Norman', '35.24556444', '-97.47212861')
('Grider ', 'Pine Bluff', '34.17498722', '-91.93472028')
('Dekalb-Peachtree', 'Atlanta', '33.87560444', '-84.30196778')
('Kirk ', 'Paragould', '36.06352944', '-90.50986028')
('Henry County', 'Paris', '36.33822472', '-88.38287861')
('Callaway Gardens-Harris County', 'Pine Mountain', '32.84069444', '-84.88244444')
('St Clair County', 'Pell City', '33.55883333', '-86.24905556')
('Ponca City Municipal', 'Ponca City', '36.73058417', '-97.09976833')
('Poplar Bluff Municipal', 'Poplar Bluff', '36.77394444', '-90.32484722')
('Cox ', 'Paris', '33.63660667', '-95.45073194')
('Pauls Valley Municipal', 'Pauls Valley', '34.71105361', '-97.22321694')
('Wiley Post', 'Oklahoma City', '35.53455', '-97.64721556')
('Perry-Houston Couty', 'Perry', '32.51058333', '-83.76733333')
('Pageland', 'Pageland', '34.74213889', '-80.34519444')
('Redbird', 'Dallas', '32.68086111', '-96.86819444')
('Walterboro Municipal', 'Walterboro', '32.92052778', '-80.64125')
('Robert S Kerr', 'Poteau', '35.02162639', '-94.6212525')
('Rockwood Municipal', 'Rockwood', '35.922295', '-84.68966278')
('Richard B Russell', 'Rome', '34.35060111', '-85.15801389')
('Warren County Memorial', 'McMinnville', '35.69870944', '-85.84381722')
('Cleveland Municipal', 'Cleveland', '33.76114056', '-90.75787528')
('Rogers Municipal-Carter ', 'Rogers', '36.37229667', '-94.10686972')
('Ruston Regional', 'Ruston', '32.51444444', '-92.58833333')
('Russellville Municipal', 'Russellville', '35.25914667', '-93.09326611')
('Rowan County', 'Salisbury', '35.64588583', '-80.52029306')
('Reidsville', 'Reidsville', '32.05897222', '-82.15172222')
('Hawkins County', 'Rogersville', '36.45757917', '-82.88503722')
('Cobb County-McCollum ', 'Marietta', '34.01315611', '-84.59854472')
('Savannah International', 'Savannah', '32.12758333', '-81.20213889')
('Emanuel County', 'Swainsboro', '32.60825', '-82.36869444')
('Merkel Field Sylacauga Municipal ', 'Sylacauga', '33.17183583', '-86.30553778')
('Scott Municipal', 'Oneida', '36.45569444', '-84.58575')
('Craig ', 'Selma', '32.34394667', '-86.98780333')
('Clark Field Municipal', 'Stephenville', '32.21532333', '-98.17766722')
('Stuttgart Municipal', 'Stuttgart', '34.60054', '-91.57457417')
('Shreveport Regional', 'Shreveport', '32.4466275', '-93.82559833')
('Sikeston Memorial Municipal', 'Sikeston', '36.89888889', '-89.56175')
('Smith ', 'Siloam Springs', '36.19060778', '-94.49088306')
('Sulphur Springs Municipal', 'Sulphur Springs', '33.15983333', '-95.62113889')
('Sumter Municipal', 'Sumter', '33.99569444', '-80.3615')
('Savannah Hardin County', 'Savannah', '35.17036', '-88.21587')
('Shawnee Municipal', 'Shawnee', '35.35730333', '-96.94282833')
('Spartanburg Downtown Memorial', 'Spartanburg', '34.91572222', '-81.9565')
('Springhill', 'Springhill', '32.98316472', '-93.41081028')
('Sheppard AFB/Wichita Falls Municipal', 'Wichita Falls', '33.98879611', '-98.49189333')
('Upper Cumberland Regional', 'Sparta', '36.05593278', '-85.5307475')
('Searcy Municipal', 'Searcy', '35.21194639', '-91.737165')
('George M Bryan ', 'Starkville', '33.43381667', '-88.84863806')
('Stroud Municipal', 'Stroud', '35.78756833', '-96.65862861')
('Statesville Municipal', 'Statesville', '35.76526389', '-80.95673611')
('Stillwater Regional', 'Stillwater', '36.16025194', '-97.08577028')
('Bomar Field-Shelbyville Municipal', 'Shelbyville', '35.56009889', '-86.44249333')
('Robert Sibley', 'Selmer', '35.20295', '-88.49836139')
('Kickapoo Downtown Airpark', 'Wichita Falls', '33.86122222', '-98.4904425')
('Garland Heliport', 'Garland', '32.887625', '-96.6836075')
('Statesboro Municipal', 'Statesboro', '32.48316667', '-81.73727778')
('Tuscaloosa Municipal', 'Tuscaloosa', '33.2206275', '-87.61140139')
('Gibson County', 'Trenton', '35.93245472', '-88.84894028')
('Tullahoma Regional', 'Tullahoma', '35.38015694', '-86.24602333')
('McKinney Municipal', 'McKinney', '33.17794778', '-96.5905275')
('Kennett Memorial', 'Kennett', '36.23087083', '-90.03466806')
('Tahlequah Municipal', 'Tahlequah', '35.92891667', '-95.00452778')
('Tri-Cities Regional', 'Bristol', '36.47521417', '-82.40742056')
('Terrell Municipal', 'Terrell', '32.71004667', '-96.26742306')
('Tulsa International', 'Tulsa', '36.19837222', '-95.88824167')
('Tupelo Municipal ', 'Tupelo', '34.26810833', '-88.769895')
('Vicksburg Tallulah Regional', 'Tallulah', '32.35160639', '-91.02768917')
('Texarkana Regional-Webb ', 'Texarkana', '33.45370806', '-93.99102')
('Tyler Pounds ', 'Tyler', '32.35413889', '-95.40238611')
('McGhee-Tyson', 'Knoxville', '35.81248722', '-83.99285583')
('Tompkinsville-Monroe County', 'Tompkinsville', '36.72978', '-85.65191556')
('Columbus-Lowndes County', 'Columbus', '33.46539667', '-88.38031639')
('Everett-Stewart', 'Union City', '36.38025', '-88.98547778')
('Wilkes County', 'North Wilkesboro', '36.22284028', '-81.0983375')
('West Plains Municipal', 'West Plains', '36.87813889', '-91.90269444')
('Franklin County', 'Sewanee', '35.20397028', '-85.89858889')
('University-Oxford', 'Oxford', '34.38431528', '-89.53530972')
('Rock Hill Municipal/Bryant ', 'Rock Hill', '34.98783333', '-81.05716667')
('Bentonville Municipal', 'Bentonville', '36.34571528', '-94.219345')
('Vidalia Municipal', 'Vidalia', '32.19255556', '-82.37194444')
('Virginia Highlands', 'Abingdon', '36.68711028', '-82.03333583')
('Cartersville', 'Cartersville', '34.12313889', '-84.84869444')
('Stanly County', 'Albemarle', '35.41669472', '-80.15079556')
('Enid Woodring Municipal', 'Enid', '36.37920333', '-97.79111222')
('Winder', 'Winder', '33.98227778', '-83.66808333')
('West Woodward', 'Woodward', '36.4367025', '-99.5209975')
('Northwest Arkansas Regional', 'Fayetteville/Springdale/Rogers', '36.28186944', '-94.30681111')
('Elkin Municipal', 'Elkin', '36.28002361', '-80.78606861')
